index,overall,Date,Year,reviewText,title,brand,Cleaned Reviews,Vader Sentiment,Vader Analysis,Happy,Angry,Surprise,Sad,Fear,emotion
0,5.0,2016-03-10,2016,Excellent very good,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,Excellent very good,0.7841,Positive,1.0,0.0,0.0,0.0,0.0,Happy
2,5.0,2014-10-03,2014,Magical,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,Magical,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,Happy
4,4.0,2014-06-14,2014,I do like the product a lot...I had bought them from India and they cost about $3/4 there...but since its not so easily available here I had to look for them in Amazon... they charged me more than double here.,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,I do like the product a lot I had bought them from India and they cost about there but since its not so easily available here I had to look for them in Amazon they charged me more than double here ,-0.2182,Neutral,0.25,0.0,0.25,0.25,0.25,Happy
5,5.0,2018-03-02,2018,I have OILY skin. I have tried quite a few mattifying moisturizers and I am so happy I found this. Make sure you shake it well. It absorbs quite well also.,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,I have OILY skin I have tried quite a few mattifying moisturizers and I am so happy I found this Make sure you shake it well It absorbs quite well also ,0.8605,Positive,0.33,0.0,0.33,0.33,0.0,Happy
6,1.0,2017-10-05,2017,Got different bottle looks dulpicate,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,Got different bottle looks dulpicate,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,Happy
7,5.0,2017-09-09,2017,I like this one then green one I don't know why. Green is also good but I prefer this for my skin. I am been using this for 2 years now and I love it. It balances my oily skin.,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,I like this one then green one I don t know why Green is also good but I prefer this for my skin I am been using this for years now and I love it It balances my oily skin ,0.8591,Positive,0.67,0.0,0.0,0.0,0.33,Happy
8,4.0,2017-04-12,2017,Product delivered was different flavour instead of basic lactoclamine.,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,Product delivered was different flavour instead of basic lactoclamine ,0.0,Neutral,0.0,0.0,0.0,0.0,1.0,Fear
9,5.0,2017-04-07,2017,my favorite beauty product,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,my favorite beauty product,0.7783,Positive,1.0,0.0,0.0,0.0,0.0,Happy
10,3.0,2017-01-26,2017,"The liquid separates into a creamy mass and clear liquid. Needs vigorous shaking to blend it together. Otherwise, a great product.",Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,The liquid separates into a creamy mass and clear liquid Needs vigorous shaking to blend it together Otherwise a great product ,0.7184,Positive,0.5,0.0,0.0,0.5,0.0,Happy
11,4.0,2017-01-07,2017,Delivery took long time. Just started to use it. It should work based on previous usage.,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,Delivery took long time Just started to use it It should work based on previous usage ,0.0,Neutral,0.0,0.0,0.0,0.33,0.67,Fear
12,5.0,2016-10-16,2016,"I buy this for my mom, 77 year old. She has beautiful skin and she has been using this for many years.",Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,I buy this for my mom year old She has beautiful skin and she has been using this for many years ,0.5994,Positive,1.0,0.0,0.0,0.0,0.0,Happy
13,5.0,2016-10-03,2016,"I have combination skin, which means my forehead, chin, and top of nose region gets extremely oily and the nostril and cheek region gets extremely dry. I have tried a variety of skin care products and this is the only one that can balance the oils on my face. It helps heal breakouts and prevent new ones; and is the only product that helps with my acne. This product is also great for mild to severe sunburns; apply generously to affected area and you will feel the cooling effect immediately. Regular application(twice/ thrice a day) to sunburnt area helps heal the burn and peeling skin. The ingredients separate easily because it is a combination of clays and glycerin, so make sure you shake the bottle well before each use to ensure smooth application.

The product is good for 5 years from the date at the bottom of the bottle (date of manufacturing) . E.g., if the date is Aug 16 (2016), then your bottle of the lotion is good until Aug 21(2021).

I have been using this for years and would definitely recommend it to people with all skin types.",Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,I have combination skin which means my forehead chin and top of nose region gets extremely oily and the nostril and cheek region gets extremely dry I have tried a variety of skin care products and this is the only one that can balance the oils on my face It helps heal breakouts and prevent new ones and is the only product that helps with my acne This product is also great for mild to severe sunburns apply generously to affected area and you will feel the cooling effect immediately Regular application twice thrice a day to sunburnt area helps heal the burn and peeling skin The ingredients separate easily because it is a combination of clays and glycerin so make sure you shake the bottle well before each use to ensure smooth application The product is good for years from the date at the bottom of the bottle date of manufacturing E g if the date is Aug then your bottle of the lotion is good until Aug I have been using this for years and would definitely recommend it to people with all skin types ,0.9856,Positive,0.17,0.0,0.28,0.22,0.33,Fear
14,5.0,2016-04-20,2016,Great product and fast shipment. I love it.,Lacto Calamine Skin Balance Oil control 120 ml. (Pack of 2),Pirmal Healthcare,Great product and fast shipment I love it ,0.8519,Positive,1.0,0.0,0.0,0.0,0.0,Happy
15,5.0,2012-12-22,2012,These are so great! I love how small they are. They fit in my purse and are easy to carry with my.,Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,These are so great I love how small they are They fit in my purse and are easy to carry with my ,0.9469,Positive,1.0,0.0,0.0,0.0,0.0,Happy
16,5.0,2012-07-03,2012,I read about the Mary Kay Satin Hands lotion online.  Someone gave it as a gift so I wanted to give samples of this lotion to each of the ladies that helped plan my baby shower.  I'm happy with the price and quick delivery.,Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,I read about the Mary Kay Satin Hands lotion online Someone gave it as a gift so I wanted to give samples of this lotion to each of the ladies that helped plan my baby shower I m happy with the price and quick delivery ,0.765,Positive,0.2,0.2,0.2,0.0,0.4,Fear
17,5.0,2011-05-12,2011,"Whether in travel size or full size, Mary Kay makes the best hand cream ever. It moisturizes without being greasy, and the scent doesn't conflict with your perfume, if you wear it. It is an excellent value; the quality rivals much higher priced hand creams.",Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,Whether in travel size or full size Mary Kay makes the best hand cream ever It moisturizes without being greasy and the scent doesn t conflict with your perfume if you wear it It is an excellent value the quality rivals much higher priced hand creams ,0.9563,Positive,0.33,0.0,0.0,0.67,0.0,Sad
18,3.0,2010-06-22,2010,the ad was very misleading. I thought that I would be receiving the scrub and the overnight cream. It was all hand cream and nothing else. very disappointing.,Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,the ad was very misleading I thought that I would be receiving the scrub and the overnight cream It was all hand cream and nothing else very disappointing ,0.4681,Neutral,0.0,0.0,0.5,0.5,0.0,Surprise
19,5.0,2014-03-22,2014,This moisturizer is soo awesome and smells so great.  It will work to soften the driest of hands and the small mini creams fit in small wristlets or purses to bring with you anytime.,Mary Kay Satin Hands Hand Cream Travel MINI Size Set of 6,Mary Kay,This moisturizer is soo awesome and smells so great It will work to soften the driest of hands and the small mini creams fit in small wristlets or purses to bring with you anytime ,0.916,Positive,0.33,0.0,0.17,0.17,0.33,Happy
