Happy,Angry,Surprise,Sad,Fear
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.25,0.25,0.25
0.33,0.0,0.33,0.33,0.0
0.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.33
0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.5,0.0
0.0,0.0,0.0,0.33,0.67
1.0,0.0,0.0,0.0,0.0
0.17,0.0,0.28,0.22,0.33
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.2,0.2,0.2,0.0,0.4
0.33,0.0,0.0,0.67,0.0
0.0,0.0,0.5,0.5,0.0
0.33,0.0,0.17,0.17,0.33
0.0,0.33,0.0,0.0,0.67
0.33,0.0,0.33,0.0,0.33
0.75,0.0,0.0,0.0,0.25
0.33,0.0,0.33,0.0,0.33
0.2,0.2,0.2,0.0,0.4
0.5,0.0,0.0,0.5,0.0
0.5,0.0,0.0,0.25,0.25
1.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0
0.5,0.0,0.5,0.0,0.0
0.5,0.0,0.5,0.0,0.0
0.5,0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.67,0.33
0.33,0.0,0.0,0.17,0.5
0.25,0.0,0.25,0.25,0.25
1.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.5
1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.17,0.17,0.67
0.75,0.0,0.0,0.0,0.25
0.5,0.0,0.0,0.0,0.5
0.5,0.07,0.07,0.14,0.21
0.5,0.0,0.0,0.0,0.5
0.75,0.0,0.0,0.25,0.0
0.0,0.25,0.75,0.0,0.0
0.25,0.08,0.17,0.08,0.42
0.4,0.0,0.0,0.2,0.4
0.36,0.05,0.05,0.23,0.32
1.0,0.0,0.0,0.0,0.0
0.67,0.0,0.0,0.0,0.33
0.67,0.0,0.33,0.0,0.0
0.1,0.1,0.2,0.2,0.4
0.33,0.03,0.09,0.27,0.27
0.2,0.0,0.0,0.2,0.6
0.0,0.0,0.0,0.0,1.0
0.27,0.0,0.18,0.18,0.36
0.5,0.0,0.0,0.25,0.25
